"id","gov_id","gov_code","gov_name","site_name","site_type_code","entry_type_code","index_url","entry_url","more_info"
"1","20","120102","天津市|河东区","天津·河东","1","1","http://www.tjhdq.gov.cn","http://ms.enorth.com.cn/zmljl/quxian/",
"2","9","110111","北京市|房山区","北京市房山区人民政府办公室","1","1","http://www.bjfsh.gov.cn","http://zhfrx.bjfsh.gov.cn/sletter/letter-index!queryLetter.action?type=1",
"3","6","110107","北京市|石景山区","北京·石景山","1","1","http://www.bjsjs.gov.cn/","http://www.bjsjs.gov.cn/zmhd_00/letterbefore/listmore?select=1",
"4","4","110105","北京市|朝阳区","朝阳政府","1","1","http://www.bjchy.gov.cn","http://zmhd.bjchy.gov.cn/information.information.do?m=morelxxdchywz",
"5","2","110101","北京市|东城区","东城区政府办","1","1","http://www.bjdch.gov.cn","http://qzxx.bjdch.gov.cn/module/newLetter/digest.jsp",
"6","53","130131","河北省|石家庄市|平山县","平山县政府信息公开平台","1","1","http://www.xbp.gov.cn","http://www.xbp.gov.cn/syscolumn/gzcy/xzxx/index_1.html",
"7","50","130128","河北省|石家庄市|深泽县","深泽县政府","1","1","http://www.shenze.gov.cn","http://www.shenze.gov.cn/col/1313290944246/index.html",
"8","48","130126","河北省|石家庄市|灵寿县","灵寿县人民政府网","1","1","http://www.lingshou.gov.cn","http://www.lingshou.gov.cn/hdjl/zfxx/tsjb/",
"9","43","130110","河北省|石家庄市|鹿泉区","石家庄市鹿泉区政府","1","1","http://www.sjzlq.gov.cn","http://www.sjzlq.gov.cn/mailbox/mailbox_list.jsp",
"10","38","130104","河北省|石家庄市|桥西区","石家庄市桥西区人民政府","1","1","http://www.sjzqx.gov.cn","http://www.sjzqx.gov.cn/bmztc/bmztc_list.jsp",
"11","37","130102","河北省|石家庄市|长安区","石家庄市长安区人民政府网站","1","1","http://www.sjzca.gov.cn","http://www.sjzca.gov.cn/hdjl/hdjllist1.html",
"12","34","120119","天津市|蓟州区","蓟州政务网","1","1","http://www.tjjz.gov.cn","http://ms.enorth.com.cn/zmljl/quxian/jixian/",
